Station,Buddy_location
Burns Lake,Prince George Plaza 400
Burns Lake,Houston Firehall
Burns Lake,Burns Lake Fire Centre
Burns Lake,Vanderhoof Courthouse
Burns Lake,Smithers Muheim Memorial
Castlegar,Cranbrook Muriel Baxter
Castlegar,Castlegar Zinio Park
Castlegar,Grand Forks City Hall
Castlegar,Golden Helipad
Castlegar,Sparwood Centennial Square
Colwood,Colwood City Hall
Colwood,Victoria Topaz
Colwood,Duncan College Street
Colwood,Nanaimo Labieux Road
Colwood,Port Alberni Elementary
Colwood,Courtenay Elementary School
Courtenay,Duncan College Street
Courtenay,Port Alberni Elementary
Courtenay,Courtenay Elementary School
Courtenay,Elk Falls Dogwood
Cranbrook,Cranbrook Muriel Baxter
Cranbrook,Castlegar Zinio Park
Cranbrook,Elkford Rocky Mountain Elementary School
Cranbrook,Golden Helipad
Cranbrook,Sparwood Centennial Square
Duncan,Victoria Topaz
Duncan,Duncan College Street
Duncan,Nanaimo Labieux Road
Duncan,Port Alberni Elementary
Duncan,Courtenay Elementary School
Elkford,Cranbrook Muriel Baxter
Elkford,Castlegar Zinio Park
Elkford,Elkford Rocky Mountain Elementary School
Elkford,Sparwood Centennial Square
Fort St John,Prince George Plaza 400
Fort St John,Fort St John Key Learning Centre
Golden,Golden Helipad
Golden,Cranbrook Muriel Baxter
Golden,Castlegar Zinio Park
Golden,Elkford Rocky Mountain Elementary School
Golden,Sparwood Centennial Square
Grand Forks,Grand Forks City Hall
Grand Forks,Cranbrook Muriel Baxter
Grand Forks,Castlegar Zinio Park
Grand Forks,Penticton Industrial Place
Houston,Prince George Plaza 400
Houston,Houston Firehall
Houston,Burns Lake Fire Centre
Houston,Vanderhoof Courthouse
Houston,Smithers Muheim Memorial
Hudsons Hope,Hudsons Hope Dudley Drive
Hudsons Hope,Fort St John Key Learning Centre
Kamloops,Kamloops Federal Building
Kamloops,Williams Lake Columneetza School
Kamloops,Quesnel Johnston Avenue
Kelowna,Kamloops Federal Building
Kelowna,Vernon Science Centre
Kelowna,Kelowna KLO Road
Kelowna,Grand Forks City Hall
Kitimat,Prince George Plaza 400
Kitimat,Houston Firehall
Kitimat,Burns Lake Fire Centre
Kitimat,Vanderhoof Courthouse
Kitimat,Smithers Muheim Memorial
Kitimat,Terrace Skeena Middle School
Penticton,Vernon Science Centre
Penticton,Grand Forks City Hall
Penticton,Kelowna KLO Road
Penticton,Penticton Industrial Place
Port Alberni,Duncan College Street
Port Alberni,Port Alberni Elementary
Port Alberni,Courtenay Elementary School
Port Alberni,Elk Falls Dogwood
Powell River,Powell River James Thomson School
Powell River,Courtenay Elementary School
Powell River,Elk Falls Dogwood
Powell River,Langdale Elementary
Prince George,Prince George Plaza 400
Prince George,Burns Lake Fire Centre
Prince George,Vanderhoof Courthouse
Prince George,Quesnel Kinchant St MAML
Quesnel,Quesnel Johnston Avenue
Quesnel,Prince George Plaza 400
Quesnel,Williams Lake Columneetza School
Smithers,Prince George Plaza 400
Smithers,Burns Lake Fire Centre
Smithers,Vanderhoof Courthouse
Smithers,Houston Firehall
Smithers,Smithers Muheim Memorial
Smithers,Terrace Skeena Middle School
Sparwood,Golden Helipad
Sparwood,Castlegar Zinio Park
Sparwood,Elkford Rocky Mountain Elementary School
Sparwood,Sparwood Centennial Square
Sparwood,Vernon Science Centre
Squamish,Squamish Elementary
Squamish,Whistler Meadow Park
Squamish,Langdale Elementary
Squamish,Horseshoe Bay
Terrace,Prince Rupert Fairview
Terrace,Smithers Muheim Memorial
Terrace,Kitimat Riverlodge
Terrace,Terrace Skeena Middle School
Valemount,Valemount
Valemount,Prince George Plaza 400
Vanderhoof,Prince George Plaza 400
Vanderhoof,Houston Firehall
Vanderhoof,Burns Lake Fire Centre
Vanderhoof,Vanderhoof Courthouse
Vernon,Kamloops Federal Building
Vernon,Vernon Science Centre
Vernon,Kelowna KLO Road
Vernon,Grand Forks City Hall
Whistler,Squamish Elementary
Whistler,Whistler Meadow Park
Whistler,Langdale Elementary
Whistler,Horseshoe Bay
Williams Lake,Williams Lake Columneetza School
Williams Lake,Quesnel Johnston Avenue
Williams Lake,Kamloops Federal Building
