Station,Health_authority
Burns Lake,NH
Castlegar,IH
Colwood,VIH
Courtenay,VIH
Cranbrook,IH
Duncan,VIH
Elkford,IH
Fort St John,NH
Golden,IH
Grand Forks,IH
Houston,NH
Hudsons Hope,NH
Kamloops,IH
Kelowna,IH
Kitimat,NH
Penticton,IH
Port Alberni,VIH
Powell River,VCH
Prince George,NH
Quesnel,NH
Smithers,NH
Sparwood,IH
Squamish,VCH
Terrace,NH
Valemount,NH
Vanderhoof,NH
Vernon,IH
Whistler,VCH
Williams Lake,IH
